trading_day,ticker,p_positive_mean,p_negative_mean,p_neutral_mean,net_sentiment,sentiment_volume,sentiment_momentum,sentiment_dispersion
2024-01-16,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-17,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-18,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-19,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-22,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-23,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-24,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-25,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-26,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-29,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-30,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-31,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-02-01,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-02-02,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-02-05,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-02-06,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-02-07,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-02-08,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-02-09,COP,2.0999725,-0.53673255,-1.3179544,1.5619547,-0.4706100979848702,0.44501558078776793,-0.39002892
2024-02-12,COP,-0.4918803,-0.6549904,1.026124,0.1204176,-0.4706100979848702,0.8070335057027018,-0.39002892
2024-02-13,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-14,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-15,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-16,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-19,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-20,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-21,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-22,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-23,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-26,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-27,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-28,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-02-29,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-01,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-04,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-05,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-06,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-07,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-08,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-11,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-12,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-13,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-14,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-15,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-18,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-19,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-20,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-21,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-22,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-25,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-26,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-27,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-28,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-03-29,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-01,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-02,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-03,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-04,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-05,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-08,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-09,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-10,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-11,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-12,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-15,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-16,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-17,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-18,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-19,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-22,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-23,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-24,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-25,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-26,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-29,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-04-30,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-05-01,COP,-0.4918803,-0.6549904,1.026124,0.1204176,0.0,0.8070335057027018,-0.39002892
2024-05-02,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,-0.4706100979848702,-0.12551016508008955,-0.39002892
2024-05-03,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-06,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-07,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-08,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-09,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-10,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-13,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-14,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-15,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-16,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-17,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-20,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-21,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-22,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-23,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-24,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-27,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-28,COP,-0.82429695,2.3044097,-1.4066538,-1.91722,0.0,-0.12551016508008955,-0.39002892
2024-05-29,COP,-0.34547943,-0.6550762,0.8999359,0.20605698,6.0381746559415514,-0.8247747079778875,0.34028953
2024-05-30,COP,-0.39613244,-0.64746183,0.9366258,0.1717025,6.764294932469811,-0.7983260199062999,0.36021715
2024-05-31,COP,-0.42132285,-0.65338796,0.9637976,0.16066737,2.24369557987028,0.2732834679719356,0.0976099
2024-06-03,COP,-0.660684,-0.6333011,1.1517823,0.008225549,-0.4706100979848702,0.4471720090465376,-0.39002892
2024-06-04,COP,-0.660684,-0.6333011,1.1517823,0.008225549,0.0,0.4471720090465376,-0.39002892
2024-06-05,COP,-0.660684,-0.6333011,1.1517823,0.008225549,0.0,0.4471720090465376,-0.39002892
2024-06-06,COP,-0.660684,-0.6333011,1.1517823,0.008225549,0.0,0.4471720090465376,-0.39002892
2024-06-07,COP,-0.660684,-0.6333011,1.1517823,0.008225549,0.0,0.4471720090465376,-0.39002892
2024-06-10,COP,-0.660684,-0.6333011,1.1517823,0.008225549,0.0,0.4471720090465376,-0.39002892
2024-06-11,COP,-0.660684,-0.6333011,1.1517823,0.008225549,0.0,0.4471720090465376,-0.39002892
2024-06-12,COP,-0.4905095,-0.66637653,1.0354048,0.12831105,-0.4706100979848702,0.3444352698860991,-0.39002892
